GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoJSON,org.bremersee.geojson.utils,GeometryUtils,6,1117,24,94,3,203,24,128,0,93
GeoJSON,org.bremersee.geojson.utils,MercatorToWgs84CoordinateFilter,1,98,2,12,0,24,2,13,0,8
GeoJSON,org.bremersee.geojson.utils,SwapCoordinateFilter,0,16,1,1,0,6,1,2,0,2
GeoJSON,org.bremersee.geojson.utils,Wgs84ToMercatorCoordinateFilter,1,115,2,16,0,28,2,15,0,8
GeoJSON,org.bremersee.geojson.utils,ConvertHelper,51,704,16,58,8,158,15,51,0,29
GeoJSON,org.bremersee.geojson,GeoJsonLinkedCrs,0,80,2,10,0,21,2,11,0,7
GeoJSON,org.bremersee.geojson,AbstractGeoJsonFeatureCollection,1,79,2,8,0,23,2,11,0,8
GeoJSON,org.bremersee.geojson,GeometryWrapper.Serializer,9,18,1,1,3,5,2,2,1,2
GeoJSON,org.bremersee.geojson,GeoJsonFeature,2,73,4,14,1,24,4,13,0,8
GeoJSON,org.bremersee.geojson,GeometrySerializer,3,19,1,1,1,6,1,2,0,2
GeoJSON,org.bremersee.geojson,AbstractGeoJsonFeature,10,111,8,10,1,28,7,10,0,8
GeoJSON,org.bremersee.geojson,GeoJsonFeatureCollection,0,53,1,5,0,14,1,4,0,2
GeoJSON,org.bremersee.geojson,GeoJsonNamedCrs,0,40,1,5,0,11,1,6,0,4
GeoJSON,org.bremersee.geojson,GeometryWrapper.Deserializer,5,19,0,0,1,4,1,2,1,2
GeoJSON,org.bremersee.geojson,AbstractGeoJsonCrs,4,70,3,7,2,15,3,8,0,6
GeoJSON,org.bremersee.geojson,GeoJsonObjectMapperModule,48,148,4,4,14,34,3,8,0,7
GeoJSON,org.bremersee.geojson,GeometryDeserializer,22,261,14,42,6,62,13,21,0,6
GeoJSON,org.bremersee.geojson,GeometryWrapper,0,88,0,14,0,26,0,15,0,8
GeoJSON,org.bremersee.geojson.model,LatLon,46,110,16,12,0,23,13,11,1,9
GeoJSON,org.bremersee.geojson.model,LatitudeLongitude,46,110,16,12,0,23,13,11,1,9
GeoJSON,org.bremersee.geojson.model,LatLonAware.BuilderImpl,0,45,0,2,0,14,0,8,0,7
GeoJSON,org.bremersee.geojson.model,LatLonAware,0,62,0,12,0,14,0,12,0,6
